ADDRESS,POSTAL,POWER OUT TIME,POWER RESTORE TIME,POWER DURATION
7915 NW 45TH ST,32653--610,9/11/17 8:27,9/11/17 18:05,9:37
4955 SE HAWTHORNE RD,32641--896,9/10/17 23:43,9/17/17 15:20,15:36
"12100 W NEWBERRY RD, SBSTA",32669,9/10/17 9:42,9/11/17 19:22,9:39
5520 NW 33RD ST,32653,9/11/17 1:06,9/11/17 13:22,12:15
6629 NW 28TH TER,32653,9/11/17 1:06,9/11/17 13:22,12:15
6735 NW 36TH DR,32653,9/11/17 1:06,9/11/17 13:22,12:15
6236 NW 35TH ST,32653,9/11/17 1:06,9/11/17 13:22,12:15
6316 NW 37TH TER,32653,9/11/17 1:06,9/11/17 13:22,12:15
6025 NW 30TH TER,32653,9/11/17 1:06,9/11/17 13:22,12:15
3226 NW 62ND AV,32653,9/11/17 1:06,9/11/17 13:22,12:15
3710 NW 56TH PL,32653,9/11/17 1:06,9/11/17 13:22,12:15
2848 NW 62ND AV,32653,9/11/17 1:06,9/11/17 13:22,12:15
6236 NW 36TH TER,32653,9/11/17 1:06,9/11/17 13:22,12:15
6308 NW 35TH TER,32653,9/11/17 1:06,9/11/17 13:22,12:15
6625 NW 34TH TER,32653,9/11/17 1:06,9/11/17 13:22,12:15
6304 NW 37TH DR,32653,9/11/17 1:06,9/11/17 13:22,12:15
6101 NW 29TH ST,32653,9/11/17 1:06,9/11/17 13:22,12:15
3214 NW 67TH PL,32653,9/11/17 1:06,9/11/17 13:22,12:15
2841 NW 63RD PL,32653,9/11/17 1:06,9/11/17 13:22,12:15
5610 NW 30TH TER,32653,9/11/17 1:06,9/11/17 13:22,12:15
6605 NW 31ST TER,32653,9/11/17 1:06,9/11/17 13:22,12:15
3405 NW 62ND PL,32653,9/11/17 1:06,9/11/17 13:22,12:15
5814 NW 32ND ST,32653,9/11/17 1:06,9/11/17 13:22,12:15
3721 NW 58TH PL,32653,9/11/17 1:06,9/11/17 13:22,12:15
