ADDRESS,kWDC
2285 NW 17TH AV,3.85
6131 SW 85TH ST,4.80
5115 NE 63RD AV,26.20
4201 NW 95TH BLVD,73.71
619 S MAIN ST,25.20
3516 NW 29TH PL,4.46
4207 NW 6TH ST,25.20
3000 NW 83RD ST,25.43
2613 NW 24TH TER,5.60
5125 NE 63RD AV,11.07
4949 SW 41ST BLVD STE 40,23.65
6121 NW 1ST PL,19.50
8808 NW 59TH ST,5.25
328 SE 70TH ST,4.80
3509 NW 53RD TER,4.73
3800 SW 34TH ST,13.65
2401 NW 66TH CT,24.84
2707 SW 40TH BLVD,75.00
619 S MAIN ST,25.20
6905 SE 4TH AV,24.80
3000 NW 83RD ST,72.58
433 S MAIN ST,5.28
4613 NW 6TH ST,61.60
4615 NW 6TH ST,64.68
3638 SW ARCHER RD,258.72
3644 SW ARCHER RD,258.72
3720 SW ARCHER RD,535.92
4647 NW 6TH ST,58.52
4651 NW 6TH ST,58.52
4911 NW 6TH ST,1006.74
3800 SW 34TH ST,25.20
3800 SW 34TH ST,25.20
3800 SW 34TH ST,25.20
3800 SW 34TH ST,25.20
6716 NW 67TH AV,5.20
3800 SW 34TH ST,25.20
4202 NW 15TH PL,4.80
4831 SW 91ST DR,3.20
3800 SW 34TH ST,26.46
3800 SW 34TH ST,25.83
3800 SW 34TH ST,34.02
3800 SW 34TH ST,21.84
3800 SW 34TH ST,17.64
3800 SW 34TH ST,17.64
3800 SW 34TH ST,17.64
3800 SW 34TH ST,56.70
3800 SW 34TH ST,26.46
3800 SW 34TH ST,21.42
3800 SW 34TH ST,11.76
3800 SW 34TH ST,21.84
3800 SW 34TH ST,29.60
3800 SW 34TH ST,25.20
3800 SW 34TH ST,28.77
2020 W UNIVERSITY AV,50.00
5220 SW 91ST TER,4.10
4440 NW 25TH PL,23.76
2772 NW 43RD ST,70.84
3736 SW ARCHER RD,532.84
490 NW 60TH ST,104.72
3800 SW 34TH ST,20.30
3800 SW 34TH ST,23.99
3800 SW 34TH ST,20.91
3800 SW 34TH ST,18.45
3800 SW 34TH ST,19.68
3800 SW 34TH ST,21.12
3800 SW 34TH ST,19.07
6026 NW 1ST PL,10.40
2814 SW 13TH ST,69.30
3800 SW 34TH ST,15.99
3800 SW 34TH ST,18.45
3800 SW 34TH ST,19.68
3800 SW 34TH ST,15.99
8505 NW 39TH AV,49.68
3800 SW 34TH ST,20.91
8325 SW 16TH PL,2.66
4701 SW 34TH ST,75.00
4911 NW 6TH ST,1006.74
4440 NE 41ST TER,64.32
4050 NE 45TH AV,67.20
3720 NW 13TH ST,254.27
3720 NW 13TH ST,96.35
3910 SW ARCHER RD,77.00
3942 SW ARCHER RD,113.96
3145 NW 43RD ST,102.81
401 E UNIVERSITY AV,99.56
2124 NE WALDO RD,214.59
11914 NW 10TH RD,5.06
9075 SW 25TH RD,8.28
3580 N MAIN ST,10.12
3901 NW 21ST LN,5.52
5128 NW 76TH LN,4.07
7103 NW 43RD LN,9.99
8552 SW 12TH LN,5.52
3044 SW 70TH LN,10.12
1202 NE 8TH AV,10.12
2169 NW 100TH ST,9.99
4232 NW 38TH ST,9.86
6510 NW 13TH ST,9.84
5406 NW 52ND TER,5.06
6424 NW 85TH TER,6.44
6919 NW 20TH PL,9.99
8927 SW 42ND PL,6.90
1724 NW 51ST TER,8.14
6829 SE 14TH LN,5.06
3306 SE 27TH ST,8.14
2205 SE 23RD PL,8.88
10909 SW 17TH AV,9.99
4213 SW 80TH ST,9.99
3749 SW 42ND PL,9.84
2710 NW 27TH PL,2.30
4609 SW 97TH TER,6.11
219 SE 11TH ST,9.99
1410 SW 25TH PL,4.18
2404 NW 93RD ST,5.00
426 SW 43RD TER,6.11
1641 NW 10TH AV,9.99
3707 SW 100TH ST,6.90
8575 SW 12TH LN,6.90
2926 NW 14TH PL,5.98
2225 NW 38TH DR,5.52
2899 NW 4TH LN,5.52
3511 NW 18TH PL,5.06
5443 NW 45TH DR,5.52
2021 NW 47TH ST,5.00
104 SW 80TH BLVD,9.66
6725 NW 52ND TER,2.58
7613 NW 53RD WAY,8.17
5146 NW 22ND DR,5.06
2321 SW 34TH PL,9.88
2223 SW 8TH DR,10.12
2422 NW 15TH PL,5.06
427 SW 42ND ST,9.99
1168 SW 25TH PL,9.99
7847 NW 44TH ST,5.52
312 NW 32ND ST,5.06
2824 NW 23RD BLVD,5.06
2505 NW 93RD ST,8.74
2402 NW 27TH TER,5.06
2221 SE 20TH ST,10.12
8505 NW 2ND PL,4.60
2257 NW 31ST AV,9.99
6915 NW 4TH BLVD,25.20
3915 SW 19TH ST,5.17
2150 NE 31ST AV,500.08
2844 NW 58TH BLVD,9.90
4028 NW 10TH AV,6.08
3640 SW 20TH AV,30.24
3640 SW 20TH AV,26.04
2811 NW 37TH TER,4.56
3640 SW 20TH AV,30.24
525 NE 10TH AV,2.30
3540 NW 13TH ST,9.24
426 SW 40TH ST,8.25
3720 SW 97TH WAY,10.32
612 SW 5TH TER,8.28
6205 NW 46TH PL,10.12
2121 NW 67TH PL,664.58
1311 NW 76TH BLVD,286.94
10505 SW 15TH LN,7.84
1245 SE 7TH AV,50.40
408 W UNIVERSITY AV,32.20
3630 SW 47TH AV,51.66
5005 SW 75TH ST,51.98
4611 SW 94TH DR,10.12
1001 SE 12TH ST,51.98
312 NW 16TH AV,51.98
207 NW 23RD AV,43.60
4501 NW 23RD AV,6.72
1222 NW 58TH TER,8.28
2477 SE 30TH PL,8.36
3230 SW ARCHER RD,27.68
3230 SW ARCHER RD,27.68
3230 SW ARCHER RD,27.68
3230 SW ARCHER RD,27.68
5510 NW 27TH AV,156.24
9301 NW 23RD AV,156.20
3000 E UNIVERSITY AV,104.16
6825 NW 18TH DR,78.00
4340 NE 49TH AV,285.60
4800 SW 35TH DR,167.28
3215 NW 15TH AV,52.08
3215 NW 15TH AV,48.72
3215 NW 15TH AV,24.36
1532 NW 54TH DR,4.11
2650 NE 53RD AV,999.93
1126 NE 22ND CT,5.64
425 W UNIVERSITY AV,248.64
1201 SE 43RD ST,25.77
2001 SW 16TH ST,25.74
6110 NW 4TH PL,31.02
3100 SW 42ND WAY,25.74
5510 NW 27TH AV,52.47
5005 SW 75TH ST,104.80
6020 NW 4TH PL,25.74
5005 SW 75TH ST,52.40
1001 SE 12TH ST,52.47
1001 NW 53RD AV,25.74
1001 NW 53RD AV,25.74
1301 NW 76TH BLVD,102.24
7003 NW 39TH AV,25.74
200 SW 62ND BLVD,25.74
2826 NW 31ST AV,52.14
200 SW 62ND BLVD,25.74
200 SW 62ND BLVD,25.74
2826 NW 31ST AV,25.77
8100 NW 15TH PL,105.00
812 NW 34TH ST,36.60
812 NW 34TH ST,20.58
1245 SE 7TH AV,25.77
3362 NE 39TH AV,12.88
1245 SE 7TH AV,78.60
3880 NE 39TH AV,279.41
7510 NW 4TH BLVD,50.40
2650 NE 53RD AV,1000.16
3413 SW 47TH AV,239.40
932 NW 36TH TER,10.20
10205 SW 2ND PL,7.97
7015 NW 20TH PL,7.00
6408 NW 45TH PL,9.44
7070 NW 23RD WAY,47.09
5950 NW 1ST PL,72.57
2201 SW 120TH TER,10.20
309 NE 5TH AV,3.30
2033 SE 23RD PL,10.50
NW 53RD AV,1039.50
732 NW 40TH TER,10.20
2668 SW 103RD ST,9.75
5510 NW 27TH AV,52.20
7819 NW 22ND LN,6.00
5510 NW 27TH AV,52.20
1900 NW 13TH ST,52.20
2100 FT CLARKE BLVD,52.20
301 NW 62ND ST,102.60
4401 SE 4TH AV,26.10
2225 SW 63RD AV,525.00
ROCKY POINT RD,525.00
ROCKY POINT RD,525.00
901 NW 8TH AV,157.50
14 S MAIN ST,84.00
2340 N MAIN ST,157.50
623 SW 27TH ST,9.74
6931 NW 22ND ST,126.00
5589 NW 37TH ST,10.00
10000 W NEWBERRY RD,196.00
